,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
0,3M India Ltd.,CONSUMER GOODS,3MINDIA,144.14,1695.911,76.48,8.9209996,0.22940417750397243
1,ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,13.96,170.186,75.0,14.151,0.2474904392472205
2,ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,25.976,220.029,77.024,11.006,0.24145985177564847
3,ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,88.701,676.251,57.14399999999999,28.893998,0.42604058103955733
4,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,60.02,449.929,58.557,33.188,0.3146918058023503
5,APL Apollo Tubes Ltd.,METALS,APLAPOLLO,22.6,115.077,48.841,26.235999999999997,0.4886777799128875
6,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,37.86,203.877,39.845002,40.39,0.6456696816878635
7,Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,30.087,98.006,65.756,2.8529999999999998,0.3054463930885529
8,Aarti Industries Ltd.,CHEMICALS,AARTIIND,30.04,201.045,48.374,19.830999,0.4905813331496723
9,Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,36.54,306.113,37.888,51.617000000000004,0.43540961930893224
10,Abbott India Ltd.,PHARMA,ABBOTINDIA,325.04,1224.536,74.98599999999999,4.048,0.24558008969707237
11,Adani Enterprises Ltd.,METALS,ADANIENT,8.39,156.22,17.466,14.693000000000001,0.25041866957011105
12,Adani Green Energy Ltd.,POWER,ADANIGREEN,0.68,10.057,98.437,12.328,0.38522971794532995
13,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,24.58,150.786,35.076,21.586001,0.35633731176618244
14,Adani Total Gas Ltd.,OIL & GAS,ATGL,4.21,17.625,80.71300000000001,10.818999999999999,0.2433456918189567
15,Adani Transmission Ltd.,POWER,ADANITRANS,9.02,62.475,76.475996,17.206,0.32557674541267695
16,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,4.66,56.78,77.366996,5.197,0.2908599727733773
17,Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,-8.583,12.216,64.592004,20.131001,0.2943830614732553
18,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,13.07,87.027,64.902,20.535,0.27798488074576394
19,Aegis Logistics Ltd.,SERVICES,AEGISCHEM,6.36,55.345,63.464,10.258000000000001,0.36230378347578346
20,Affle (India) Ltd.,IT,AFFLE,52.96,140.967,64.375,15.769,0.38294676963024665
21,Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,75.09,346.098,59.483003999999994,14.704001,0.2873848573587976
22,Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,45.6,283.001,80.037004,11.3649994,0.19956950217719252
23,Alembic Ltd.,PHARMA,ALEMBICLTD,13.35,89.403,71.774,5.213,0.25926790429235697
24,Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,60.81,260.778,70.095,14.957,0.28788435105754995
25,Alkem Laboratories Ltd.,PHARMA,ALKEM,128.274,585.15,80.307996,14.142999,0.2572576506502739
26,Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,57.72,155.287,74.75700400000001,1.5890000000000002,0.21847004588432137
27,Alok Industries Ltd.,TEXTILES,ALOKINDS,-15.19,-35.659,75.069,0.857,0.2291081575087541
28,Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,37.87,246.535,52.491003000000006,29.073,0.45608836030255484
29,Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,24.96,475.992,53.069997,29.282000000000004,0.47379237068057234
30,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,13.89,114.611,64.357,20.882,0.3513691471982882
31,Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG,38.32,138.278,71.810997,15.662999999999998,0.20999946229289998
32,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,14.534,225.396,29.965000000000003,47.107,0.6738832520156206
33,Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,5.68,180.051,32.189,23.005,0.38994603396872035
34,Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,4.147,52.388,54.269003999999995,1.328,0.4535152865193961
35,Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,-1.694,24.888,35.167,29.864,0.5641902651402112
36,Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,9.523,16.373,54.481,28.689999999999998,0.45599307271600625
37,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,32.73,133.454,43.875,16.212,0.46734862616730016
38,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,3.472,64.196,23.531,36.196,0.20757079527573127
39,AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,37.32,182.443,83.585,2.7609998,0.16676384
40,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,20.13,94.356,63.514,18.844,0.35322214645509387
41,Atul Ltd.,CHEMICALS,ATUL,221.17,1290.59,49.056998,30.034,0.5091396588378043
42,Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,91.04,373.988,50.68,23.319000000000003,0.4782087694697398
43,Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,27.69,118.698,71.114,9.712,0.2829275208079503
44,Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,16.85,188.107,78.424,12.2609995,0.18844804835437176
45,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,24.13,338.103,2.2669999,65.630996,0.8619367854474691
46,BASF India Ltd.,CHEMICALS,BASF,127.668,412.649,75.365996,8.9899994,0.257626185151644
47,BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,23.029,504.154,55.615,22.503,0.44413975434931385
48,BSE Ltd.,FINANCIAL SERVICES,BSE,30.94,648.048,0.0,3.8739999999999997,0.9813012750892296
49,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,167.9,942.355,58.425000000000004,17.559,0.3974098940816363
50,Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,12.982,49.735,38.04,33.567002,0.6199196827978853
51,Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,16.49,137.01,65.629,19.221,0.3344857993486821
52,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,73.0,614.101,56.668997,21.310000000000002,0.42979308309282366
53,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,280.9,2250.674,68.69800000000001,9.467,0.32585230717443747
54,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,327.9,3340.789,60.033,12.328,0.25044556759573744
55,Balaji Amines Ltd.,CHEMICALS,BALAMINES,73.52,276.049,72.489,0.823,0.2593995247060276
56,Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,60.91,310.295,59.072,27.071,0.41453958687708115
57,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,5.4,84.5,63.346000000000004,5.903,0.3628995812963439
58,Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,22.488,112.541,46.276,26.656999999999996,0.5761506285714286
59,Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,13.69,108.133,49.669999999999995,28.011999999999997,0.42092985253746534
60,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,3.32,176.837,65.294,18.047,0.32457067678330137
61,Bank of India,FINANCIAL SERVICES,BANKINDIA,-4.875,143.34,89.09899999999999,4.789000000000001,0.06865705925257504
62,Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,0.91,18.938,93.33,1.966,0.06603097301040357
63,Bata India Ltd.,CONSUMER GOODS,BATAINDIA,-6.256,132.259,53.181999999999995,29.354000000000003,0.45895162921697996
64,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,109.72,567.328,72.708,12.617,0.3347996644571571
65,Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,7.41,34.806,76.435995,11.8090004,0.23155533031399103
