,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc,price,dv_avg,trn_avg
0,3M India Ltd.,CONSUMER GOODS,3MINDIA,144.14,1695.911,76.48,8.9209996,0.2294041775039724,26391.400390625,-0.0011250556979421696,23217549.421043668
1,ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,13.96,170.186,75.0,14.151,0.2474904392472205,1495.6500244140625,-0.0007503213125701185,121626258.29428998
2,ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,25.976,220.029,77.024,11.006,0.2414598517756484,1806.25,-0.0008529948809941575,67087513.18113564
3,ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,88.701,676.251,57.14399999999999,28.893998,0.4260405810395573,1961.199951171875,-0.0006574308296476253,641314144.6759309
4,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,60.02,449.929,58.557,33.188,0.3146918058023503,1943.1500244140625,-0.000497808884090889,54897193.77604553
5,APL Apollo Tubes Ltd.,METALS,APLAPOLLO,22.6,115.077,48.841,26.236,0.4886777799128875,1271.6500244140625,5.15640273823323e-05,54058653.530227594
6,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,37.86,203.877,39.845002,40.39,0.6456696816878635,963.7999877929688,-0.00024385627725665246,543537796.7471665
7,Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,30.087,98.006,65.756,2.853,0.3054463930885529,725.6500244140625,-0.0019976515109220816,46688754.89115969
8,Aarti Industries Ltd.,CHEMICALS,AARTIIND,30.04,201.045,48.374,19.830999,0.4905813331496723,1653.75,-0.0014647329813342403,55703512.38823633
9,Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,36.54,306.113,37.888,51.617,0.4354096193089322,2314.10009765625,0.0005472512675723614,128666402.74542454
10,Abbott India Ltd.,PHARMA,ABBOTINDIA,325.04,1224.536,74.98599999999999,4.048,0.2455800896970723,16131.400390625,-0.00017567249841064103,31002908.213261
11,Adani Enterprises Ltd.,METALS,ADANIENT,8.39,156.22,17.466,14.693,0.250418669570111,1282.75,-0.0006301345178320631,648350863.2282337
12,Adani Green Energy Ltd.,POWER,ADANIGREEN,0.68,10.057,98.437,12.328,0.3852297179453299,1314.25,0.000806382659001556,538728326.140491
13,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,24.58,150.786,35.076,21.586001,0.3563373117661824,764.0,-0.0009448603497312934,1112818536.5120962
14,Adani Total Gas Ltd.,OIL & GAS,ATGL,4.21,17.625,80.71300000000001,10.819,0.2433456918189567,1294.4000244140625,0.0014739967284395704,591807394.624877
15,Adani Transmission Ltd.,POWER,ADANITRANS,9.02,62.475,76.475996,17.206,0.3255767454126769,1450.199951171875,0.00036093459344738307,196080378.35287464
16,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,4.66,56.78,77.366996,5.197,0.2908599727733773,124.3000030517578,-0.002369668984734194,346065695.6313499
17,Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,-8.583,12.216,64.592004,20.131001,0.2943830614732553,184.8500061035156,-0.0008602554790378647,135071950.0455482
18,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,13.07,87.027,64.902,20.535,0.2779848807457639,483.3500061035156,-0.002090491832903131,135621733.21155962
19,Aegis Logistics Ltd.,SERVICES,AEGISCHEM,6.36,55.345,63.464,10.258,0.3623037834757834,357.3999938964844,0.000836665333828214,28627024.46658006
20,Affle (India) Ltd.,IT,AFFLE,52.96,140.967,64.375,15.769,0.3829467696302466,5147.2001953125,-0.0020448149012824665,287604768.8293083
21,Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,75.09,346.098,59.483004,14.704001,0.2873848573587976,1969.050048828125,-5.5345137446191614e-05,112957554.88255419
22,Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,45.6,283.001,80.037004,11.3649994,0.1995695021771925,2250.39990234375,-0.0012357479247564118,14664452.589492641
23,Alembic Ltd.,PHARMA,ALEMBICLTD,13.35,89.403,71.774,5.213,0.2592679042923569,131.0,-0.002728573826273826,42568720.234857865
24,Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,60.81,260.778,70.095,14.957,0.2878843510575499,954.4500122070312,0.000589178733643594,95731075.12609985
25,Alkem Laboratories Ltd.,PHARMA,ALKEM,128.274,585.15,80.307996,14.142999,0.2572576506502739,2905.0,-0.0002469864195640797,212861760.5020964
26,Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,57.72,155.287,74.75700400000001,1.5890000000000002,0.2184700458843213,3605.199951171875,0.0014335147642123187,28809345.34229868
27,Alok Industries Ltd.,TEXTILES,ALOKINDS,-15.19,-35.659,75.069,0.857,0.2291081575087541,20.89999961853028,-0.004502729172582954,66637422.083599314
28,Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,37.87,246.535,52.491003000000006,29.073,0.4560883603025548,733.5999755859375,-0.0012958464168318696,175937550.84465426
29,Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,24.96,475.992,53.069997,29.282000000000004,0.4737923706805723,2766.25,-0.0008366730248056167,188036866.70882368
30,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,13.89,114.611,64.357,20.882,0.3513691471982882,322.29998779296875,-0.0008037032309342144,473160123.06485176
31,Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG,38.32,138.278,71.810997,15.662999999999998,0.2099994622928999,714.7000122070312,0.0022051750203360004,252511748.44972685
32,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,14.534,225.396,29.965000000000003,47.107,0.6738832520156206,3199.64990234375,-0.0018395639460299926,367047445.9697748
33,Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,5.68,180.051,32.189,23.005,0.3899460339687203,219.0,-0.0016298627477406374,382317436.70617044
34,Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,4.147,52.388,54.269004,1.328,0.4535152865193961,311.1000061035156,-0.0012506888456088115,8882245.479359658
35,Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,-1.694,24.888,35.167,29.864,0.5641902651402112,126.3499984741211,-0.002747509952464915,739319018.4790821
36,Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,9.523,16.373,54.481,28.69,0.4559930727160062,93.75,-0.0024676874091375243,42925656.81457965
37,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,32.73,133.454,43.875,16.212,0.4673486261673001,2914.39990234375,-0.0003632560124582166,802572061.5690652
38,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,3.472,64.196,23.531,36.196,0.2075707952757312,148.8000030517578,-0.0025983640139975884,44216855.83181752
39,AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,37.32,182.443,83.585,2.7609998,0.16676384,3859.550048828125,-0.0006232599631950914,37773889.85158367
40,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,20.13,94.356,63.514,18.844,0.3532221464550938,1815.6500244140625,9.533945755873186e-06,52756169.87438813
41,Atul Ltd.,CHEMICALS,ATUL,221.17,1290.59,49.056998,30.034,0.5091396588378043,8597.5,-0.00040728928400596005,39754135.97997165
42,Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,91.04,373.988,50.68,23.319000000000003,0.4782087694697398,1022.6500244140624,-0.0015588788154949932,642486180.4108225
43,Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,27.69,118.698,71.114,9.712,0.2829275208079503,554.2000122070312,-0.0021793287184512255,112146105.9601467
44,Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,16.85,188.107,78.424,12.2609995,0.1884480483543717,3103.85009765625,0.0002707357264384699,1259409665.0283866
